,states,x,y
1,Andhra Pradesh,-78,-211
2,Arunachal Pradesh,283,181
3,Assam,249,111
4,Bihar,72,19
5,Chhattisgarh,-12,-53
6,Goa,-220,-202
7,Gujarat,-289,-23
8,Haryana,-159,188
9,Himachal Pradesh,-122,268
10,Jharkhand,90,86
11,Karnataka,-175,-231
12,Kerala,-186,-311
13,Madhya Pradesh,-116,9
14,Maharashtra,-212,-112
15,Manipur,282,71
16,Meghalaya,199,86
17,Mizoram,262,35
18,Nagaland,283,181
19,Odisha,60,-64
20,Punjab,-184,221
21,Rajasthan,-255,113
22,Sikkim,152,148
23,Tamil Nadu,-77,-299
24,Telangana,-98,-141
25,Tripura,231,37
26,Uttar Pradesh,-69,126
27,Uttarakhand,-79,207
28,West Bengal,142,11
